,sna,tot,sbi,sarea,mday,bemp,act
0,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-27 17:36:04,25,1
1,YouBike2.0_復興南路二段273號前,21,1,大安區,2023-05-27 17:39:13,20,1
2,YouBike2.0_國北教大實小東側門,16,1,大安區,2023-05-27 17:39:13,14,1
3,YouBike2.0_和平公園東側,11,5,大安區,2023-05-27 17:39:13,6,1
4,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-27 17:24:04,16,1
5,YouBike2.0_復興南路二段280號前,11,0,大安區,2023-05-27 17:30:37,11,1
6,YouBike2.0_復興南路二段340巷口,11,1,大安區,2023-05-27 17:39:13,9,1
7,YouBike2.0_新生南路三段52號前,17,0,大安區,2023-05-27 17:21:04,16,1
8,YouBike2.0_新生南路三段66號前,16,4,大安區,2023-05-27 17:32:14,12,1
9,YouBike2.0_新生南路三段82號前,20,1,大安區,2023-05-27 17:38:14,18,1
10,YouBike2.0_辛亥路一段30號前,8,1,大安區,2023-05-27 17:35:14,7,1
11,YouBike2.0_和平復興路口西北側,9,0,大安區,2023-05-27 17:39:13,8,1
12,YouBike2.0_羅斯福路三段311號前,11,3,大安區,2023-05-27 17:37:14,8,1
13,YouBike2.0_大安運動中心停車場,14,1,大安區,2023-05-27 17:36:15,13,1
14,YouBike2.0_羅斯福路三段245號前,8,1,大安區,2023-05-27 17:38:04,7,1
15,YouBike2.0_溫州公園,5,5,大安區,2023-05-27 17:36:04,0,1
16,YouBike2.0_和平臥龍街口,15,4,大安區,2023-05-27 17:35:14,11,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-27 17:38:14,4,1
18,YouBike2.0_銘傳國小側門,7,5,大安區,2023-05-27 17:39:13,1,1
21,YouBike2.0_臺灣科技大學正門,30,1,大安區,2023-05-27 17:36:04,28,1
22,YouBike2.0_臺灣科技大學側門,99,1,大安區,2023-05-27 17:39:13,97,1
23,YouBike2.0_公館公園,15,0,大安區,2023-05-27 17:12:04,15,1
24,YouBike2.0_臺灣科技大學後門,39,0,大安區,2023-05-27 17:38:04,38,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,1,大安區,2023-05-27 17:39:13,19,1
26,YouBike2.0_臺大環研大樓,15,0,大安區,2023-05-27 16:03:04,15,1
28,YouBike2.0_臺大男七舍前,20,5,大安區,2023-05-27 17:27:14,15,1
29,YouBike2.0_臺大男一舍前,61,2,大安區,2023-05-27 17:39:13,59,1
31,YouBike2.0_臺大動物醫院前,18,0,大安區,2023-05-27 17:38:04,18,1
32,YouBike2.0_臺大土木研究大樓前,24,0,大安區,2023-05-27 17:21:04,23,1
33,YouBike2.0_臺大萬才館前,20,0,大安區,2023-05-27 17:27:04,20,1
34,YouBike2.0_臺大國青大樓宿舍前,20,1,大安區,2023-05-27 17:38:14,19,1
35,YouBike2.0_臺大社科院圖書館前,27,0,大安區,2023-05-27 17:39:13,27,1
36,YouBike2.0_臺大法人語言訓練中心前,28,3,大安區,2023-05-27 17:35:14,25,1
40,YouBike2.0_國北教大側門南側,25,3,大安區,2023-05-27 17:25:16,21,1
41,YouBike2.0_和平實小東北側,13,1,大安區,2023-05-27 17:25:16,12,1
42,YouBike2.0_大安區健康服務中心,15,2,大安區,2023-05-27 17:27:14,13,1
44,YouBike2.0_芳和國中,28,3,大安區,2023-05-27 17:33:14,25,1
46,YouBike2.0_臥龍公園,14,5,大安區,2023-05-27 17:21:16,9,1
50,YouBike2.0_喬治工商,26,0,大安區,2023-05-27 17:39:03,25,1
51,YouBike2.0_法治公園,15,4,大安區,2023-05-27 17:28:14,10,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,1,大安區,2023-05-27 17:30:37,14,1
54,YouBike2.0_和平龍泉街口,34,4,大安區,2023-05-27 17:39:13,29,1
55,YouBike2.0_和平泰順街口,9,3,大安區,2023-05-27 17:35:14,6,1
56,YouBike2.0_臺灣師範大學(圖書館),40,2,大安區,2023-05-27 17:34:14,34,1
61,YouBike2.0_建國和平路口西北側,44,2,大安區,2023-05-27 17:39:13,42,1
64,YouBike2.0_金甌女中,12,1,大安區,2023-05-27 17:38:14,10,1
66,YouBike2.0_愛國金山路口,33,0,大安區,2023-05-27 17:37:04,31,1
67,YouBike2.0_敦化南路二段293巷口南側,14,2,大安區,2023-05-27 17:01:16,12,1
68,YouBike2.0_敦化基隆路口,29,4,大安區,2023-05-27 17:37:14,23,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,1,大安區,2023-05-27 17:38:14,28,1
71,YouBike2.0_臨江街夜市(基隆路),17,2,大安區,2023-05-27 17:38:14,14,1
72,YouBike2.0_台北科技大學億光大樓,46,3,大安區,2023-05-27 17:39:13,42,1
73,YouBike2.0_新生南路一段119巷口,33,5,大安區,2023-05-27 17:39:13,26,1
74,YouBike2.0_幸安國小(仁愛路),16,1,大安區,2023-05-27 17:37:14,14,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,15,0
76,YouBike2.0_復興南路1段340巷口,38,0,大安區,2023-05-27 17:39:13,37,1
79,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-05-27 17:37:04,11,1
80,YouBike2.0_捷運大安站(2號出口),22,2,大安區,2023-05-27 17:35:14,20,1
81,YouBike2.0_信義大安路口(信維大樓),12,2,大安區,2023-05-27 17:38:14,9,1
85,YouBike2.0_仁愛國中,25,2,大安區,2023-05-27 17:29:14,21,1
